timestamp,x,y,z,qx,qy,qz,qw
000143,56.231956,-33.829723,2.1768792,0.7190241,0.000103688086,-0.033569723,-0.694174
000144,56.285545,-34.640232,2.2328784,0.7199193,-0.0002309305,-0.03270961,-0.6932866
000145,56.30939,-35.436733,2.265984,0.72078484,-0.0004166451,-0.032870397,-0.692379
000146,56.386227,-36.160065,2.3332744,0.72137773,-0.0010696222,-0.031333845,-0.6918318
000147,56.42393,-36.979843,2.36957,0.7224747,-0.0021920723,-0.031781055,-0.6906631
000148,56.455357,-37.716103,2.4238527,0.7237832,-0.00345242,-0.032202348,-0.689267
000149,56.516075,-38.42003,2.474948,0.72477156,-0.00404764,-0.032596424,-0.6882059
000150,56.568077,-39.161163,2.5156696,0.7260866,-0.0064606695,-0.031622835,-0.6868453
000151,56.65155,-39.902367,2.5537047,0.726459,-0.00757226,-0.030481342,-0.68649167
000152,56.670002,-40.722534,2.5994291,0.72838825,-0.007573837,-0.031151846,-0.68441415
000153,56.701515,-41.427296,2.6468368,0.73027515,-0.008081608,-0.031546343,-0.6823765
000154,56.809883,-42.272152,2.7064838,0.730429,-0.009803134,-0.029903417,-0.6822634
000155,56.80377,-43.09317,2.749224,0.7331865,-0.009525733,-0.029582642,-0.6793172
000156,56.878662,-43.882168,2.8162804,0.73433477,-0.007682392,-0.030329088,-0.6780661
000157,57.02997,-44.668,2.8688803,0.7351416,-0.0118290195,-0.028620008,-0.6772059
000158,57.076794,-45.478485,2.9175694,0.7373564,-0.014755093,-0.032061514,-0.6745813
000159,57.052086,-46.267506,2.9631617,0.7411495,-0.016163131,-0.0343377,-0.67026645
000160,57.14951,-47.07987,3.0157123,0.7435343,-0.018143808,-0.034725953,-0.66754895
000161,57.306446,-47.914806,3.0874195,0.7449781,-0.01987191,-0.032192487,-0.6660154
000162,57.39464,-48.71375,3.144392,0.7477253,-0.018990565,-0.032142457,-0.66295785
000163,57.517708,-49.531155,3.1971097,0.7500977,-0.017815422,-0.03168923,-0.6603271
000164,57.593372,-50.313965,3.2569194,0.75315815,-0.01669034,-0.02888774,-0.656993
000165,57.7904,-51.115276,3.3162267,0.75460154,-0.015585087,-0.024606016,-0.6555366
000166,57.88787,-51.927513,3.378708,0.75742126,-0.014582472,-0.023803445,-0.65232956
000167,57.99595,-52.682198,3.4398298,0.76020676,-0.01488834,-0.02451047,-0.649048
000168,58.160603,-53.511173,3.51158,0.7615672,-0.015762333,-0.027081817,-0.647328
000169,58.28721,-54.255825,3.5577126,0.76348066,-0.018496726,-0.027397681,-0.6449841
000170,58.309334,-54.7206,3.5716984,0.76528454,-0.020498754,-0.0293489,-0.6426959
000171,58.50337,-55.61526,3.6484385,0.766537,-0.022018155,-0.027256113,-0.6412436
000172,58.667267,-56.441036,3.6886506,0.7678469,-0.020204209,-0.028217,-0.6396927
000173,58.858746,-57.379677,3.752521,0.7698798,-0.016998556,-0.02637257,-0.63741714
000174,59.028023,-58.06821,3.8014252,0.7705354,-0.015830101,-0.02362843,-0.6367623
000175,59.178543,-58.7847,3.8937588,0.77096057,-0.015967049,-0.01945031,-0.6363856
000176,59.337334,-59.6003,3.951816,0.7735337,-0.017162237,-0.018579787,-0.6332503
000177,59.48428,-60.3131,3.9722836,0.7735226,-0.018519873,-0.019746777,-0.6331903
000178,59.636314,-61.12305,4.0307245,0.77487075,-0.019538458,-0.02034048,-0.63149023
000179,59.818157,-61.726295,4.0773664,0.77447236,-0.021515217,-0.0213843,-0.6318801
000180,59.96019,-62.44725,4.1240177,0.7753723,-0.022056606,-0.024240274,-0.6306534
000181,60.164135,-63.13272,4.1623416,0.77469987,-0.02272928,-0.025780516,-0.6313945
000182,60.320282,-63.725204,4.217998,0.7750179,-0.026255306,-0.023290277,-0.6309639
000183,60.497646,-64.501396,4.2565207,0.77567714,-0.025144117,-0.02280035,-0.63021654
000184,60.65399,-65.23777,4.3255033,0.7761718,-0.024638332,-0.021494247,-0.6296732
000185,60.774067,-65.90837,4.36653,0.77636814,-0.023229536,-0.022579312,-0.62944674
000186,60.881832,-66.50358,4.3765674,0.7760132,-0.021238139,-0.024155324,-0.6298961
000187,61.086895,-67.21951,4.451634,0.7747684,-0.022735447,-0.022432884,-0.6314379
000188,61.068707,-67.63391,4.535875,0.77488536,-0.02519068,-0.021000119,-0.63125044
000189,61.168316,-68.21212,4.577215,0.77417123,-0.02378888,-0.024634486,-0.63204914
000190,61.35508,-68.827,4.6016297,0.7730221,-0.023685884,-0.025991542,-0.63340366
000191,61.371292,-69.33518,4.6607976,0.77325034,-0.023229368,-0.02553128,-0.6331607
000192,61.47119,-69.88128,4.7082644,0.77261204,-0.022370707,-0.024224289,-0.6340216
000193,61.618088,-70.45848,4.746127,0.7716417,-0.022275768,-0.02202453,-0.6352857
000194,61.758305,-71.09924,4.79713,0.77085614,-0.021177022,-0.022316782,-0.636266
000195,61.83247,-71.54984,4.8393435,0.7701789,-0.01991188,-0.024288097,-0.63705426
000196,61.960983,-72.19555,4.892292,0.7693603,-0.018846197,-0.026609344,-0.6379825
000197,62.103878,-72.79394,4.9313602,0.76870066,-0.019003341,-0.027942585,-0.6387155
000198,62.121513,-73.14194,4.9394803,0.7687736,-0.020729568,-0.028617091,-0.6385441
000199,62.275158,-73.799805,4.974193,0.76750106,-0.01897871,-0.02946713,-0.6400888
000200,62.35002,-74.32437,5.0198565,0.76799756,-0.017848136,-0.030176304,-0.6394925
000201,62.414505,-74.85782,5.062838,0.7687523,-0.015313031,-0.031681415,-0.63857794
000202,62.555405,-75.48996,5.106681,0.76930565,-0.013768248,-0.032754052,-0.6378922
000203,62.6342,-75.91467,5.143097,0.7701852,-0.014921433,-0.03172641,-0.636856
000204,62.855534,-76.63435,5.201298,0.7714379,-0.015473924,-0.031321406,-0.63534486
000205,62.87765,-77.10682,5.2649484,0.77400756,-0.014329377,-0.031046813,-0.63225234
000206,63.07605,-77.7221,5.295186,0.7755782,-0.015435272,-0.030504012,-0.6303252
000207,63.22155,-78.30754,5.325797,0.77777904,-0.015043197,-0.030209266,-0.62763107
000208,63.149525,-78.10296,5.352669,0.77964777,-0.021764386,-0.026154866,-0.6252932
000209,63.3241,-79.15182,5.4275775,0.7838779,-0.019610088,-0.02659817,-0.62003505
000210,63.65423,-80.03555,5.435507,0.7870144,-0.02081905,-0.027668195,-0.61596215
000211,63.808666,-80.61224,5.4470983,0.7899495,-0.02481488,-0.026953453,-0.61207646
000212,63.99128,-81.32422,5.5065875,0.7939646,-0.025407434,-0.027174834,-0.6068247
000213,64.24621,-81.97688,5.5687714,0.79636234,-0.026349979,-0.027122216,-0.60363656
000214,64.435295,-82.61048,5.62159,0.79961276,-0.028609563,-0.026016949,-0.5992697
000215,64.63662,-83.19591,5.67615,0.80203545,-0.02867498,-0.026531491,-0.5959975
000216,64.84104,-84.0448,5.692917,0.80653685,-0.030114524,-0.026314031,-0.5898297
000217,65.02857,-84.5536,5.772368,0.80917245,-0.031234322,-0.022888958,-0.5862939
000218,65.22683,-85.208534,5.8380246,0.81311214,-0.024526494,-0.023125537,-0.5811303
000219,65.42667,-85.83846,5.8618774,0.81665576,-0.020710371,-0.023500973,-0.57627445
000220,65.662224,-86.51823,5.901239,0.82020676,-0.018627739,-0.022781335,-0.57130986
000221,65.99595,-87.29632,5.9408627,0.8226946,-0.016952623,-0.02351018,-0.56774426
000222,66.23623,-87.9589,5.9766645,0.82509685,-0.012224388,-0.025603522,-0.56427854
000223,66.50073,-88.58398,6.022928,0.8268907,-0.0052577946,-0.025929498,-0.56174
000224,66.81455,-89.333,6.081253,0.8287411,-0.0024432582,-0.026394363,-0.5590042
000225,67.108864,-90.065414,6.1648164,0.8310368,-0.00177912,-0.02665133,-0.5555757
000226,67.53006,-90.91584,6.2135587,0.83280706,-0.0025763928,-0.030767439,-0.5527017
000227,67.81106,-91.64228,6.2912025,0.8348721,-0.00240229,-0.03405933,-0.549384
000228,68.05272,-92.244095,6.327508,0.83650345,-0.0030695554,-0.03511654,-0.5468267
000229,68.51987,-93.158554,6.4008174,0.83790153,-0.0061433916,-0.032282937,-0.54483134
000230,68.803406,-93.753815,6.4442635,0.8390011,-0.0112401005,-0.029955726,-0.5431882
000231,68.76796,-94.11018,6.4877696,0.84077084,-0.010234223,-0.03233097,-0.540328
